Project_Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,Latitude,Longitude,Geocoded_Address,Geocode_Quality
Abbot Street/ Shawmut Ave,Roxbury,02119,16,16,0,0,0,0,16,16,0,Rental,Private,,,42.2968538,-71.0858397,"Abbot St, Boston, MA 02124, USA",full_match
Academy Homes I,Roxbury,02119,202,202,0,52,52,0,150,150,0,Rental,Private,,,42.3213958,-71.0981671,"1592 Columbus Ave, Roxbury, MA 02119, USA",full_match
Academy Homes II,Roxbury,02119,236,236,0,0,0,0,236,236,0,Rental,Private,,Y,42.318895,-71.0952217,"2926 Washington St, Roxbury, MA 02119, USA",full_match
Adams Court Phase A,Mattapan,02126,50,50,0,0,0,0,50,50,0,Rental,Private,,,42.2826,-71.0557643,"Adams St, Boston, MA 02126, USA",full_match
Adams Court Phase B,Mattapan,02126,45,45,0,0,0,0,45,45,0,Rental,Private,,,42.2826,-71.0557643,"Adams St, Boston, MA 02126, USA",full_match
Adams Templeton Elderly Housing,Dorchester,02124,76,76,0,1,1,0,75,75,0,Rental,Private,Y,Y,42.2942384,-71.05689389999999,"445 Adams St, Dorchester, MA 02122, USA",full_match
Alcott Apts [Garden Garage],West End,02114,470,470,0,453,453,0,17,17,0,Rental,Private,,,42.36530459999999,-71.064807,"35 Lomasney Wy, Boston, MA 02114, USA",full_match
Alexander-Magnolia,Dorchester,02125,40,40,0,2,2,0,38,38,0,Rental,Private,,,42.3159733,-71.0701695,"Alexander St, Boston, MA 02125, USA",full_match
"Alice H. Taylor (Mission Hill Ext.) (2-14, -60,-84,-86,-100)",Mission Hill,02120,363,363,0,0,0,0,363,363,0,Rental,Public,,,42.3298994,-71.1059676,"Mission Hill, Boston, MA, USA",full_match
Allele Condominium,South Boston,02127,47,0,47,41,0,41,6,0,6,Ownership,Private,,,42.3416366,-71.0567932,"150 Dorchester Ave, Boston, MA 02127, USA",full_match
Alleyne (VUP) CDFI,Roxbury,02121,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,,42.33763099999999,-71.10511,"300 Longwood Ave, Boston, MA 02115, USA",full_match
Alpine Street Village,Hyde Park,02136,44,0,44,40,0,40,4,0,4,Rental,Private,,,42.2646522,-71.1018239,"Alpine St, Boston, MA 02136, USA",full_match
Amiff Housing,Dorchester,02124,96,96,0,0,0,0,96,96,0,Rental,Private,,Y,42.2901849,-71.0725885,"339 Talbot Ave, Boston, MA 02124, USA",full_match
Amory Foundry (Phase I),Jamaica Plain,02130,23,0,23,18,,18,5,0,5,Ownership,Private,,,42.3126341,-71.1056229,"Amory St, Boston, MA 02130, USA",full_match
Amory Street (2-45),Jamaica Plain,02119,215,215,0,0,0,0,215,215,0,Rental,Private,Y,,42.3197517,-71.0998234,"Amory St, Boston, MA 02119, USA",full_match
Amory Terrace,Jamaica Plain,02119,64,64,0,0,0,0,64,64,0,Rental,Private,,,42.3203707,-71.1001587,"Amory Terrace, Boston, MA 02119, USA",full_match
Amy Lowell House,West End,02114,152,152,0,30,30,0,122,122,0,Rental,Private,,,42.3656965,-71.06585729999999,"65 Martha Rd # 4b, Boston, MA 02114, USA",full_match
Anderson Park,Beacon Hill,02114,64,64,0,0,0,0,64,64,0,Rental,Private,Y,Y,42.3610184,-71.067938,"318 Anderson St, Boston, MA 02114, USA",full_match
Andrade (VUP),Dorchester,02122,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,,42.2829825,-71.0557139,"782 Adams St, Dorchester Center, MA 02124, USA",full_match
Andrew Square Apts,South Boston,02127,9,9,0,0,0,0,9,9,0,Rental,Private,,,42.3364553,-71.0349193,"South Boston, MA 02127, USA",full_match
